review_bucket,dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,propagation_score,propagation_consistency_score,propagation_support_count,propagation_support_ratio,propagation_score_gap,match_stage,propagation_iteration,accepted_graph_match,one_to_one_conflict_flag,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
medium,SAGC2A,SAGC_69KV_1,1_3247,1_3739,69.0,69.0,18.047626941579594,0.2823529411764706,1.0,0.5333333333333333,0.5489356904042528,0.7252336970910621,1.0,1,1.0,0.3270045615487707,top_ranked_unpropagated,-1,False,False,medium,False,,3,2,0.6666666666666666,0.0
medium,PAVLOV4B,PAVLOV_138KV_2,1_4217,1_145,138.0,138.1,15.116134441646576,0.3272727272727272,0.65,0.8,0.5452076617249306,0.7225495164419501,1.0,1,1.0,0.0915933933632449,top_ranked_unpropagated,-1,False,False,medium,False,,2,2,1.0,0.0
medium,HILLCTY4_8,H1_138KV_1,1_2568,1_1966,138.0,138.0,17.08280410935094,0.18,1.0,0.6,0.542694701345307,0.720740184968621,1.0,1,1.0,0.22584946582482807,top_ranked_unpropagated,-1,False,False,medium,False,,4,3,0.75,0.0
medium,GPL_KINGMTSW,KINGMTSW_345KV_1,1_10665,1_7328,345.0,345.0,,0.4053571428571428,1.0,0.8461538461538463,0.5205700549450549,0.7048104395604395,1.0,1,1.0,0.39521043956043955,top_ranked_unpropagated,-1,False,False,medium,False,0.09057005494505493,4,4,1.0,0.23076923076923078
ambiguous,OECCS_CT21,,1_8455,,18.1,18.1,0.515047095420342,0.4443181818181818,1.0,0.9,0.8334524681319485,0.6000857770550029,0.0,0,0.0,0.00019027876814003974,one_to_one_conflict,-1,False,True,ambiguous,True,0.000264276066861191,1,1,1.0,0.5
ambiguous,L_WIPOPA8_2Y,WIPOPA_138KV_2,1_3701,1_2635,138.0,138.0,1.5616745813041943,0.46538461538461534,1.0,0.8,0.8038122488598298,0.5787448191790775,0.0,0,0.0,0.017716589355330492,top_ranked_unpropagated,-1,False,False,ambiguous,True,0.024606374104625628,2,2,1.0,0.0
ambiguous,TNCOLIYDT_1,HARPOONT_138KV_1,1_5736,1_8074,138.0,138.0,0.44212509229317903,0.31527777777777777,1.0,0.8250000000000001,0.7872603338546392,0.5668274403753403,0.0,0,0.0,0.017860562858914464,top_ranked_unpropagated,-1,False,False,ambiguous,True,0.0248063373040478,3,3,1.0,0.125
ambiguous,TRENT_UN_3B,TRENT_34KV_3,1_10244,1_3012,34.5,34.5,2.20144328911601,0.542391304347826,1.0,0.49,0.7523286731608262,0.5416766446757948,0.0,0,0.0,0.0226657476561265,top_ranked_unpropagated,-1,False,False,ambiguous,True,0.03148020507795346,1,1,0.0,0.2
ambiguous,CC1TERT,COLETO_13KV_1,1_3937,1_8732,13.8,13.8,0.5540507032677144,0.195,1.0,0.8,0.7505532983519664,0.5403983748134158,0.0,0,0.0,0.012393296338999993,top_ranked_unpropagated,-1,False,False,ambiguous,True,0.01721291158194438,1,1,1.0,0.0
ambiguous,GIBN_CREK_T2,GIBCRK_22KV_1,1_520,1_6594,22.0,22.0,6.60144941767373,0.384,1.0,0.8333333333333334,0.7283281569511226,0.5243962730048083,0.0,0,0.0,0.04926987390916093,top_ranked_unpropagated,-1,False,False,ambiguous,True,0.0684303804293902,1,1,1.0,0.16666666666666666
ambiguous,WHITOK_A1TER,BI_23KV_1,1_6849,1_1236,23.0,23.0,5.329672417027625,0.30357142857142855,1.0,0.8,0.7157134224950833,0.51531366419646,0.0,0,0.0,0.02314879435372691,top_ranked_unpropagated,-1,False,False,ambiguous,True,0.03215110326906512,1,1,1.0,0.0
ambiguous,DSKYUN1A,DSKYWND1_34KV_1,1_8761,1_7440,34.5,34.5,2.401643151883532,0.38804347826086955,1.0,0.45,0.7030651413035377,0.5062069017385471,0.0,0,0.0,0.005431874916000168,top_ranked_unpropagated,-1,False,False,ambiguous,True,0.007544270716666968,1,1,0.0,0.0
