dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
DEVINE4A,,1_4299,,138.0,138.0,,0.11428571428571427,1.0,0.8,0.4385714285714286,ambiguous,True,0.01428571428571429,2,2,1.0,0.0
BENGE_T8,,1_5243,,138.0,138.0,,0.11428571428571427,1.0,0.8,0.4385714285714286,ambiguous,True,0.02071428571428574,3,3,1.0,0.0
LOXLEY4A,,1_7572,,138.0,138.0,,0.11428571428571427,1.0,0.8,0.4385714285714286,ambiguous,True,0.01428571428571429,2,2,1.0,0.0
WILMER_5,,1_2007,,345.0,345.0,,0.3269736842105263,1.0,0.5333333333333333,0.43841008771929824,ambiguous,True,0.04355889724310774,3,2,0.6666666666666666,0.0
ANDRCOSO_5,,1_10556,,345.0,345.0,,0.3089285714285714,1.0,0.5555555555555556,0.43834325396825397,ambiguous,True,0.04274672187715661,3,2,0.6666666666666666,0.1111111111111111
CHAL_SLR_S1,,1_8770,,21.6,38.0,17.66470334034266,0.283695652173913,0.65,0.4,0.43745686943445333,ambiguous,True,0.031178697061679694,2,1,0.5,0.0
CHAL_SLR_L1,,1_8771,,21.6,38.0,17.67618706856645,0.283695652173913,0.65,0.4,0.4373856718386561,ambiguous,True,0.031178778831931153,2,1,0.5,0.0
BEECHER4A,,1_10772,,138.0,138.0,,0.10909090909090909,1.0,0.8,0.4372727272727273,ambiguous,True,0.013636363636363669,2,2,1.0,0.0
POMPANO4A,,1_10787,,138.0,138.0,,0.10909090909090909,1.0,0.8,0.4372727272727273,ambiguous,True,0.0,2,2,1.0,0.0
TIMBERCST,,1_24,,138.0,138.0,,0.10909090909090909,1.0,0.8,0.4372727272727273,ambiguous,True,0.021363636363636418,3,3,1.0,0.0
PHARAOH4B,,1_4277,,138.0,138.0,,0.10909090909090909,1.0,0.8,0.4372727272727273,ambiguous,True,0.0032727272727272605,1,1,1.0,0.0
DOFFITP4A,,1_7544,,138.0,138.0,,0.10909090909090909,1.0,0.8,0.4372727272727273,ambiguous,True,0.013636363636363669,2,2,1.0,0.0
TULETA4A,,1_4203,,138.0,138.0,20.46640623785104,0.10434782608695652,1.0,0.26666666666666666,0.4372401812523676,ambiguous,True,0.10568729516909453,3,1,0.3333333333333333,0.0
