market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
ASHBURN-GOOSECRE 227D       B  230 KV,ASHBURN_230 KV_TX1:ACTUAL,GOOSECRE 230KV - ASHBURN 230KV (ASHBURN 230 KV ASH-GOOS),high,low,0.7045,0.3167,False,True
MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE),high,medium,0.9278,0.575,False,True
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1),high,medium,0.835,0.5786,False,False
FREMNT-FREMONTC A 138 KV,FREMNT_138 KV_FRE-FRE1:ACTUAL,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1),high,medium,0.9172,0.525,False,True
CUSHAW 115 KV CUSHAW -BALCFALL 28A,CUSHAW_115 KV_28A:ACTUAL,BALCFALL 115KV - CUSHAW 115KV (CUSHAW 115 KV 28A),medium,medium,0.6452,0.5167,False,False
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True
BUTLER  69 KV   BUT-SHE,BUTLER_69 KV_BUT-SHE:ACTUAL,SHERMAN 69KV - BUTLER 69KV (BUTLER 69 KV BUT-SHE),high,medium,0.8583,0.6008,False,False
NEWCARLI138 KV  NEW-PLE,NEWCARLI_138 KV_NEW-PLE:ACTUAL,NEWCARLI138 KV  NEW-TRA1,medium,medium,0.5405,0.4929,True,False
LENOX 115 KV LENOX-NMESHOPP NML 1090,LENOX_115 KV_LEN-NME:Lenox-NMeshopp 1090 & Lackawanna-OXBOW DBL,LENOX-NMESHOPP NML 1090     B  115 KV,high,low,0.8061,0.35,False,True
CEDARSUB230 KV CED-WILF,CEDARSUB230 KV CED-WILF Bergen.2CC (2001 STM/2101 CT1/2202 CT2),CEDARSUB230 KV  CED-ROSF,high,medium,0.7456,0.4773,True,True
GRABILL 138 KV GRABILL-ROBISONP,GRABILL_138 KV_GRA-ROB1:ACTUAL,ROBISONP 138KV - GRABILL 138KV (GRABILL 138 KV GRA-ROB1),high,low,0.7457,0.3167,True,True
MOUN UGI 230 KV MOUN UGI 3 XFORMER,MOUN UGI_230 KV_2:ACTUAL,MOUN UGI230 KV  2,medium,medium,0.5583,0.4929,True,True
CEDARSUB230 KV CED-WILF,CEDARSUB230 KV CED-WILF Bergen.2CC (2001 STM/2101 CT1/2202 CT2),WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF),high,medium,0.71,0.4827,True,True
HOPECREE230 KV  HOP-SIL,HOPECREE_230 KV_HOP-SIL:ACTUAL,HOPECREE 230KV - SILVERUN 230KV (HOPECREE 230 KV HOP-SIL),high,medium,0.7045,0.4607,False,True
