market_constraint,dayzer_constraint,pano_constraint
BEAUMEAD 274T2206 CB,BEAUMEAD 274T2206 CB 230 KV:L230.EVERGREENMILLS-YARLEYRIDGE.2209,BEAUMEAD 274T2206 CB
EELKHART138 KV  EEL-MOT1,,
FRACKVIL 230 KV FRACKVIL-SIEGFRIE,,FRACKVIL 230KV - SIEGFRIE 230KV (FRACKVIL 230 KV FRA-SIE)
179 BLOOM  45TR84 CT       H  345 KV,,7 STATE  TR82CT   XFORMER   H  345 KV
HARWGATE 230 KV HARWGATE-LOCKS 205C,,LOCKS 115KV - HARWGATE 115KV (HARWGATE 115 KV 100J)
ESIDELIM138 KV  ESI-NDE1,,ESIDELIM138 KV  ESI-NDE1
COLLEGEC 138 KV COLLEGEC-COLLINSV,,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6)
AUSTIN-TAYLOR 138 KV L/O PANA-AUSTIN 345 KV,,Maroa E - Goose Creek 345 kV l/o Pana-Austin 345 kV
HOOVERSV 115 KV HOOVERSV-TOWER51 H1H2 1071,HOOVERSV_115 KV_HOO-TOW:L500.BlackOak-Hatfield,
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
DAUPHIN 230 KV DAUPHIN-JUNIATA 1087,DAUPHIN_230 KV_DAU-JUN:500/230.Juniata.T1,
MOREHEAD 69 KV MOREHEAD-KUMOR TIE,156 CHER_345 KV_TR82CT-P:345L17101 Wempletown-Rockdale 345 kV Tie Line,
JACK ME 230 KV JACK ME-TMI 1051,JACK ME_230 KV_JAC-TMI:ACTUAL,TMI 230KV - JACK ME 230KV (JACK ME 230 KV JAC-TMI)
CENTRVIL138 KV  CEN-REU1,CENTER_115 KV_CEN-ERD5:ACTUAL,REUSENS 138KV - MONEL 138KV (MONEL 138 KV MON-REU1)
CHARGER 138 KV  CHA-COU,CHARGER_138 KV_CHA-COU:ACTUAL,COUNTRYS 138KV - CHARGER 138KV (CHARGER 138 KV CHA-COU)
CARROLTO138 KV  CAR-CLI1,CARROLTO_138 KV_CAR-CLI1:ACTUAL,
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:ACTUAL,
HOWARD2 138 KV  HOW-MEL1,HOWARD2_138 KV_HOW-MEL1:ACTUAL,HOWARD2 138 KV  HOW-BRO1
BUTL APS 138 KV BUTL APS-SHANORMA KND-BT,,BUTL APS 138KV - SHANORMA 138KV (BUTL APS 138 KV BUT-SHA)
HOMERCIT 345 KV HOMERCIT S.AUTO-P XFORMER,,
CHICAGO - PRAXAIR3 138 KV L/O BURNHAM - MUNSTER 345 KV,,Hendrktp-Westmltp 138 l/o Burnham-Munster 345
DANVILLE-EDANVILL B 138 KV,,EDANVILL 138KV - DANVILLE 138KV (DANVILLE 138 KV DAN-EDA1)
MAHANSLA 138 KV MAHANS LANE-TIDD,,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID)
GREENTOWN 765/138 KV XFMR 3 L/O DUMONT-SORENSON765 KV,,Greentown 765/138 kV xfmr 3 l/o Dumont-Sorenson765 kV
BAGLEY - GRACETON 2305 B 230 KV,GRACETON_230 KV_230-1:230/115.NorthEast.230-2,BAGLEY - GRACETON 2304      A  230 KV
BRUNSWIC230 KV  BRU-MEA,,BRUNSWIC230 KV  BUR-MEA
08LAPLJT138 KV  08L-SAN1,HIGHRIDG_230 KV_HIG-SAN1:500/230.Waugh Chapel.500-1,LINE    230 KV  BUR-SAN1
SHAWVILL115 KV  BNK 1A-S,,SHAWVILL 1KV - SHAWVILL 115KV (SHAWVILL 115 KV BNK 1A-S)
CONCORD 138 KV  CON-COU,CONCORD_138 KV_CON-COU:ACTUAL,CONCORD 138KV - COUNTRYS 138KV (CONCORD 138 KV CON-COU)
BERWICK 69 KV BERWICK-KOONSVIL,,BERWICK 69 KV   BER-KOO
GARDNERS_115KVGAR-TEX_1_LN,,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX)
NUCOR-WHITESTOWN 345KV L/O DREESSER-SUGARCREEK 345KV,,CAYUGA2 230KV - 08HILSDN 230KV (CAYUGA2 230 KV CAY-HILS)
BLACKOAK 500 KV BLACKOAK TRAN 3 XFORMER,,BLACKOAK 138KV - BLACKOAK 500KV (BLACKOAK 500 KV TRAN  3)
SALTSPRG_138KVSAL-MAS1_1_LN,,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1)
CARL PN-GARDNERS 1049 B 115 KV,,CARL PN 115KV - GARDNERS 115KV (CARL PN 115 KV CAR-GAR)
MAP-CHRYSLR 13811 L\O GREENTOWN-DELCO 13810,MAPLECIN_138 KV_MAP-08C1:Greentown-Delco 138 kV,MAPLECIN 138KV - 08CHRYSL 138KV (MAPLECIN 138 KV MAP-08C1)
BRUNNERI 230 KV BRUNNERI-WHEMPFIE 2305,,BRUNNERI 230KV - WHEMPFIE 230KV (BRUNNERI 230 KV BRU-WHE)
CAYUGA STARBUS TR 9-P L/O CAYUGA-NUCOR 345,CAYUGA2_345 KV_9-P:Nucor-Cayuga 345 kV,KOKOMOPS 230KV - TIPTON W 230KV (KOKOMOPS 230 KV KOK-TIP)
MOUN UGI 230 KV MOUN UGI 3 XFORMER,,MOUN UGI 69KV - PLYM UGI 69KV (MOUN UGI 69 KV MOU-PLY1)
ELKRUNDP230 KV  ELK-ROLN,ELKO_138 KV_ELK-RID:ACTUAL,
NEWBERRY_115KVNEW-ROU_1_LN,,NEWBERRY 115KV - ROUNDTOP 115KV (NEWBERRY 115 KV NEW-ROU)
HOPEWEL4230 KV  228A,,HOPEWEL4 230KV - CHESTER4 230KV (HOPEWEL4 230 KV 228A)
CONASTON_230KVCNS-NOR2_1_LN,,CONASTON 230KV - NRTHWES2 230KV (CONASTON 230 KV CNS-NOR2)
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
20 BRAID 345 KV 20 BRAID-66 E FRN 2003,,20 BRAID 345KV - 66 E FRN 345KV (20 BRAID 345 KV 2003)
CUMB PL 230 KV CUMB PL-JUNIATA 2235,,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN)
CONASTON230 KV  CNS-NOR1,,
SALTSPRG 138 KV SALTSPRG-MASURY,,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1)
107 DIXO138 KV 10714,KRENDALE_138 KV_KRE-SEN:L500.Keystone-SouthBend.5001(513),155 NELS 1KV - 155 NELS 345KV (155 NELS 345 KV TR82CT-P)
JUNIATA 2 XFORMER H 500 KV,,JUNIATA 500KV - JUNIATA 230KV (JUNIATA 500 KV 1)
ESSEX   230 KV  ESS-MCC,,MCCARTER 230KV - ESSEX 230KV (ESSEX 230 KV ESS-MCC)
HOWARD-PUMPHREY 2332-B A 230 KV,,
BERGENFI 230 KV BERGENFI-LEONIA BER-LEOO,BERGENFI_230 KV_BER-LEOO:L230.Maywood-Saddlebrook.G-2259,
DELAWARE 138 KV DELAWARE-WATK TAP DEL-WAT,,
PRUNTYTO_T1_500TRAN4_XF,,
EDWSFERY230 KV  23111,,DOUBS 230KV - DICKERSH 230KV (DICKERSH 230 KV DIC-DOU2)
CEDARGRO_230KVCED-CLIB_1_LN,,CEDARGRO 230KV - CLIF PS 230KV (CEDARGRO 230 KV CED-CLIB)
CRBN-981 CRES 98105         B  138 KV,,981 CRES 138KV - CRBN 138KV (CRBN 138 KV CRB-CRES)
BATESVIL 138 KV BATESVIL-HUBBLE,HEBRN_EK_69 KV_HEB-HEBR:L345.Tanners Creek-Miami Fort,BATESVIL 138KV - HUBBLE 138KV (BATESVIL 138 KV BAT-HUB1)
CONASTON 500 KV CONASTON 500-2 XFORMER,,GERMANTO 1 BANK   XFORMER   L  115 KV
08LAPLJT138 KV  08L-SAN1,,
SMITHTON 138 KV SMITHTON-YUKON SLJ-YU,,SHEPLJCT-SMITHTON SLJ-YU    B  138 KV
CEDARGRO_230KVCED-CLIB_1_LN,CEDARGRO_230 KV_CED-CLIK:L230.Hillsdale-Waldwick,
66 E FRN 345 KV 66 E FRN TR83CT-P XFORMER,66 E FRN_345 KV_TR83CT-P:345L2002T S Braid-Davis Crk & Davis TR83 SPOG2-24,
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:500/230.WaughChapel.500-1,
DARLEYRD_69KVDAR-NAA_1_LN,,NAAMANS 69KV - DARLEYRD 69KV (DARLEYRD 69 KV DAR-NAA)
SCOTTSVI 138 KV SCOTTSVI-BREMO_VP,,BREMO4 138KV - SCOTTSVI 138KV (SCOTTSVI 138 KV SCO-BRE1)
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,,
IDYLWOO4 230 KV IDYLWOO4-CLARK4 202A,,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A)
MINUEST 230 KV MINUEST-SEWAREN R-2218,,SEWAREN 230KV - MINUEST 230KV (MINUEST 230 KV MIN-SEW)
FACEROCK 115 KV FACEROCK 1 XFORMER,,
QUADCITIES - ROCKCREEK 345 KV L/O QUADCITIES - SUB91,,Rock Creek 345/161 TX l/o Quad Cities-Sub 91 345 kV
PRGEORGE230 KV  TX1,,PRGEORGE 230KV - PRGEORGE 115KV (PRGEORGE 230 KV TX1)
CPL-DOM CONTINGENCY 2,,TRANSFER INTERFACE: CPL-DOM
SHERMAN 69 KV SHERMAN-VINELAND,SHERMAN_69 KV_SHE-VIN:L69.Monroe-Vineland.0711,SHERMAN 69KV - VINELAND 69KV (SHERMAN 69 KV SHE-VIN)
SHEFFIELD - AMOCCO 138KV L/O SHEFFIELD - MARKTOWN 138KV,,SHEFFILD 138KV - AMOCOTP 138KV (SHEFFILD 138 KV SHE-AMO1)
SUGAR CREEK DRESSER 345 L/O NUCOR CAYUGA 345,DRESSER_345 KV_DRE-MIR:Nucor-Cayuga 345 kV,KOKOMOPS 230KV - TIPTON W 230KV (KOKOMOPS 230 KV KOK-TIP)
SPORNAEP-KYGERCRE TIE B 345 KV,SPORNAEP_345 KV_SPO-KYG1:L345.KygerCreek-Marquis,
FIVEFORK 115 KV FIVEFORK-ROCKRIDG 110511,,FIVEFORK 115KV - ROCKRIDG 115KV (FIVEFORK 115 KV FIV-ROC2)
AQUAHAR 230 KV  2119,,AQUAHAR 230 KV  2119
ELIMSPOR 230 KV ELIMSPOR-SUNBURY,,ELIMSPOR 230KV - SUNBURY 230KV (ELIMSPOR 230 KV ELI-SUN)
CHERRYRN 138 KV CHERRYRN-MORGAN WC2,,MORGAN 138KV - CHERRYRN 138KV (CHERRYRN 138 KV CHE-MOR)
PSOUTH,,PSOUTH
KOKOMOPS - TIPTOWEST 230KV L/O DUMONT - SORESON 765 KV,,NORTHPOR 138KV - ALBIONIM 138KV (ALBIONIM 138 KV ALB-NOR1)
ELDRED_230KVELD-SUN_1_LN,,SUNBURY 230KV - ELDRED 230KV (ELDRED 230 KV ELD-SUN)
MTAIRYTP69 KV   MTA-REN1,MTAIRYTP_69 KV_MTA-REN1:ACTUAL,CARROLL 230 KV  CAR-MTA
ETOWANDA-NMESHOPP ETL 1057 B 115 KV,,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL)
LANCASTR 115 KV LANCASTR-GARNERDP 65C,,LANCASTR 115KV - GARNERDP 115KV (LANCASTR 115 KV 65C)
ASHBURN 230 KV  ASH-GOOS,ASHBURN 230 KV ASH-GOOS L230.Beaumead-Ashburn-PleasantView.274,GOOSECRE 230KV - ASHBURN 230KV (ASHBURN 230 KV ASH-GOOS)
HINCHMAN 230 KV HINCHMAN-JACK PS M-2239,,JACK PS 230KV - HINCHMAN 230KV (HINCHMAN 230 KV HIN-JAC)
PRES - TIBBS 138 KV L/O COMMODORE - JORD 345 KV,PJM MONITOR_PANNELL 345 CLAY 345 1_25050 l/o PANNELL_-CLAY___,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB)
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,
NELSON 138 KV NELSON-VIENNA 13707,,VIENNA 138KV - NELSON 138KV (NELSON 138 KV NEL-VIE)
DARLEYRD 69 KV DARLEYRD-NAAMANS 6835,,NAAMANS 69KV - DARLEYRD 69KV (DARLEYRD 69 KV DAR-NAA)
MIAMIFOR 345 KV MIAMIFOR 10 XFORMER,,
MOUN UGI 230 KV MOUN UGI 1 XFORMER,,PLYM UGI 69KV - MOUN UGI 69KV (MOUN UGI 69 KV MOU-PLY2)
GARVER  345 KV  24,GARVER_345 KV_24:345/138.Todhunter.T16,GARVER 345KV - GARVER 138KV (GARVER 345 KV 24)
MAROA-E GOOSECREEK 345KV L/O FARADAY-KANSAS 345KV,,Maroa-E GooseCreek 345kV l/o Faraday-Kansas 345kV
WESCOSVI 500 KV WESCOSVI 3 XFORMER,,WESCOSVI 138KV - S WHI 138KV (S WHI 138 KV SWH-WES1)
ESIDELIM138 KV  ESI-NDE1,,ESIDELIM138 KV  ESI-NDE1
LINE 230 KV CEDARGRO-ROSELAND CED-ROSY,,ROSELAND 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-ROSY)
02LYONS 138 KV  02L-02F1,02LYONS_138 KV_02L-02F1:ACTUAL,
HARWGATE_230KV205C_1_LN,,
CHURCH 69 KV CHURCH-NEWMERED 6704-1,,CHURCH 69KV - NEWMERED 69KV (CHURCH 69 KV CHU-NME)
ASPENSLR115 KV  ASP-ROXB,ASPENSLR_115 KV_ASP-ROXB:500/230.Hunterstown.T1,
UNIVERSITY PARK - OLIVE 345 KV L/O DUMONT - WILTON 765 KV,,Michigan City-Trail Creek 138 kV l/o Wilton Center-Dumont 765 kV
LOCKWOOD 138 KV LOCKWOOD-RICHLND TIE,,
STILLWELL 1 345/138 KV L/O STILLWELL - DUMONT 345 KV,,Michigan City-Laporte l/o Dumont-stillwell
ELKHORN NORTH LAKE GENEVA 138 L/O SUNRISE WHITE WATER 138,,ELK 69 3 138KV - NLG 69 3 138KV (NLG 69 3 138 KV 39085390)
GLENDON 115 KV GLENDON-HOSENSAC 914,,GLENDON 115KV - HOSENSME 115KV (GLENDON 115 KV GLE-HOS)
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX)
TERMINAL 345 KV TERMINAL 11 XFORMER,,
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL)
GREENBUS 69 KV GREENBUS-TASLEY 6790-3,,GREENBUS 69KV - TASLEY 69KV (GREENBUS 69 KV GRN-TAS)
MIAMIFOR-08WILEY1 9784 A 138 KV,MIAMIFOR_138 KV_MIA-08W1:L138.Miami Fort-Morgan,
981 CRES138 KV 7413,,
KEENEY 230 KV KEENEY AT20 XFORMER,,
CUMB PL 230 KV CUMB PL-JUNIATA 2235,,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN)
AP SOUTH REACTIVE TRANSFER INTERFACE,,APSOUTH contingency 22
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,,CANYON 230KV - ETOWANDA 230KV (CANYON 230 KV CAN-EAS)
PLEASNTV TX3 XFORMER L 230 KV,,PLEASNTV 500KV - PLEASNTV 230KV (PLEASNTV 500 KV TX3)
122 BELV 138 KV 122 BELV-15623 15623 2,,15624 138KV - 122 BELV 138KV (122 BELV 138 KV 15624 2)
22 ZION 345 KV  2223,974 ZION_345 KV_TR11 18:ACTUAL,282 ZION 138KV - 16 WAUKE 138KV (16 WAUKE 138 KV 1609)
STATE LINE - ROXANA 138KV L/O WOLFLAKE - SHEFFIELD 138KV,7 STATE_138 KV_STA-17R1:WolfLake - Sheffield 138kV,7 STATE 138KV - 17ROXANA 138KV (7 STATE 138 KV STA-17R1)
WESTERN REACTIVE TRANSFER INTERFACE,Western Interface,
CONASTON_230KVCNS-NOR1_1_LN,,CONASTON 230KV - NRTHWES2 230KV (CONASTON 230 KV CNS-NOR1)
BRAMBLET230 KV  BRA-EVRG,,ASHBURN-COCHRANM 227A       B  230 KV
FREMNT_138KVFRE-FRE1_1_LN,,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1)
POSSUMP4500 KV  TX1,CUSHAW_115 KV_TX1:ACTUAL,SPOTSLV 500KV - SPOTSLV 115KV (SPOTSLV 500 KV TX1)
DICKERSH 230 KV DICKERSH-DICKERSO 23104,,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC3)
ATHENIA 230 KV  ATH-BERA,ATHENIA_230 KV_ATH-BERA:ACTUAL,
ALTAVSTA 138 KV ALTAVSTA TX3 XFORMER,,ALTAVSTA 115KV - ALTAVSTA 138KV (ALTAVSTA 138 KV TX3)
BENTONHA138 KV  BEN-RIV1,BENTONHA_138 KV_BEN-RIV1:ACTUAL,
LORETTO 138 KV LORETTO-VIENNA 13780,LORETTO_138 KV_LOR-VIE:138/69.Vienna.AT1,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE)
TANNERS CREEK-MIAMI FORT 345KV L/O EAST BEND-TERMINAL 345KV,,Miami Fort 345/138-kV TX9 l/o East Bend-Terminal 345 kV
BURR OAK - PLYMOUTH 138KV 13819 L/O BURR OAK - HIPLE 345KV 34529,BURR_OAK_138 KV_BUR-17P1:Burr Oak - Hiple 345kV,BURR_OAK 138KV - 17PLYMTH 138KV (BURR_OAK 138 KV BUR-17P1)
PIERCE_345KVPIE-DEA1_1_LN,,DEARBORN 345KV - PIERCE 345KV (PIERCE 345 KV PIE-DEA1)
QUAD CITIES-CORDOVA 0402 345 L/O QUAD CITIES-CORDOVA 0403 345,4 QUAD C_345 KV_402:Quad Cities-Cordova (0403) 345 kV,Quad Cities-Rock Creek 345 l/o Quad Cities-Sub 91 345
CARL PN-GARDNERS 1049 B 115 KV,,CARL PN 115 KV  CAR-GAR
REDLION 500 KV  50,,REDLION 500KV - REDLION 230KV (REDLION 500 KV 50)
EASTON-EMUNI 6772 A 69 KV,EASTON 69-EASTON 138,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU)
15518-GARDEN PLAIN 138KV L/O QUADCITY-ROCKCREEK 345KV,,Quad Cities-Sub 91 345 l/o Quad Cities-Rock Creek 345
GLENDON 115 KV GLENDON-HOSENSAC 914,,HOSENSME 115KV - GLENDON 115KV (GLENDON 115 KV GLE-HOS)
112 WILTON CENTER TR93 345/765 KV XFMR L/O 112 WILTON CENTER-23 COLLIN,,
BOXWOOD 138 KV  BOX-REU1,BOXWOOD_138 KV_BOX-REU1:ACTUAL,REUSENS 138KV - BOXWOOD 138KV (BOXWOOD 138 KV BOX-REU1)
HAVILAND138 KV HAV-TIM,,
MTNEBO  69 KV   FAC-MTNB,MTNEBO_69 KV_FAC-MTNB:ACTUAL,
LOUISACT230 KV  2074A,,SANNA 230KV - LOUISACT 230KV (LOUISACT 230 KV 2074A)
BCPEP,BCPEP Interface,
CEDARCRE230 KV  CED-SIL,,CEDARCRE 230KV - MILFORD 230KV (CEDARCRE 230 KV CED-MIL)
ERIES_T2_345NO8TX_XF,TRISTATE_345 KV_1:345/138.TriState.T2 (Sctnlz),
DELVINTA161 KV  GRN-DELV,GREENBUS_69 KV_GRN-TAS:ACTUAL,LINE    69 KV   GRN-HAL
EBERSOLE138 KV  EBE-FOS2,,FOSTORIA 138KV - EBERSOLE 138KV (EBERSOLE 138 KV EBE-FOS1)
TILTONS2 138 KV TILTONSVILLE-WINDSOR APS,,
11 FISK 138 KV  TR72 12,11 FISK_138 KV_TR72 12:ACTUAL,
FARMVILL230 KV  TX5,,SEDGEHIL 115KV - PLYWOOD 115KV (PLYWOOD 115 KV 151A)
ALLEN-RPMONE 345KV L/O MARYSVILLE-SORENSON 765KV,,SORENSON 765KV - SORENSON 345KV (SORENSON 765 KV XF3)
PLEASNTV 230 KV PLEASNTV L3T203 CB,,PLEASNTV L3T203       CB       230 KV
NSALISBU 69 KV NSALISBUR-PEMBERTON 6701-1,,NSALISBU 69KV - PEMBERTO 69KV (NSALISBU 69 KV NSA-PEM)
DUNEACRE - MICHIGAN CITY 13843 138 KV L/O WILTON CENTER - DUMONT 765 KV,,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV
NMESHOPP #3 TX XFORMER L 115 KV,,
MOUN UGI 230 KV MOUN UGI 2 XFORMER,,PLYM UGI 69KV - MOUN UGI 69KV (MOUN UGI 69 KV MOU-PLY2)
MESSICRD_138KVMES-RID_1_LN,,RIDGELEY 138KV - MESSICRD 138KV (MESSICRD 138 KV MES-RID)
HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2,,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS2)
ELIMA   345 KV  2-P,AMOS_345 KV_8-P:345/138.Amos.7,ELIMA 345KV - ELIMA 1KV (ELIMA 345 KV 2-P)
NORTHWOO-QUARRY 1 1012 A 230 KV,,QUARRY 69KV - SFARMERS 69KV (QUARRY 69 KV QUA-SFA)
SALTSPRG 138 KV SALTSPRG-MASURY,,MASURY 138KV - SALTSPRG 138KV (SALTSPRG 138 KV SAL-MAS1)
SUB 85 - ROCK ISLAND 161 KV L/O OAK GROVE - LOUISA 345 KV,,SB 85 56 161KV - ROCK IS 161KV (ROCK IS 161 KV LN  4447)
TMI 500 KV TMI 1 BANK XFORMER,,
CHERRY VALLEY-SILVER LAKE 15616 345KV L/O BYRON-WAYNE 0626 345 KV,,Cherry Valley 345/138 TR83 l/o Byron-Cherry Valley 0621 345
AEP-DOM,AEP-DOM contingency Bed-Bla:L500.Bedington-Black Oak,AEP-DOM contingency Bed-Bla
YUKON TRAN 4 XFORMER H 500 KV,,YUKON    TRAN  4  XFORMER   H  500 KV
SALTSPRG 138 KV SALTSPRG-MASURY,,MASURY 138KV - SALTSPRG 138KV (SALTSPRG 138 KV SAL-MAS1)
7713    -981 CRES 7713 2  L/O CORBIN-OGLESBY 2,,7713    -981 CRES 7713 2  l/o Corbin-Oglesby 2
JOPPA - SHAWNEE 3 161 KV L/O JOPPA - SHAWNEE 4 161 KV,,
THELMA 69 KV THE-THE1,THELMA_69 KV_THE-THE1:ACTUAL,
WMOULTON 138 KV WMOULTON-CITYSTMA,WMOULTON_69 KV_WMO-09S1:L345.Gristmill-Shelby,
KEYSTONE 230 KV KEYSTONE-SHELOCTA KHC 2014,,
VALERO  69 KV   VAL-VAPK,VALERO_69 KV_VAL-VAPK:ACTUAL,VALERO 69KV - VALEPKTP 69KV (VALERO 69 KV VAL-VAPK)
HIGHLAOE138 KV  HIG-COM1,,HIGHLAOE 138KV - COMERC 138KV (HIGHLAOE 138 KV HIG-COM1)
LACKAWAN230 KV  LAC-SUM2,,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS)
HAVILAND J            CB       138 KV,,HAVILAND J            CB       138 KV
BABCOCK-STILLWELL 345KV L/O WILTON CENTER-DUMONT 765KV,,Stillwell-Dumont 345kV l/o Wilton Center-Dumont 765kV
IRONWOOD230 KV  IRO-NLE,IRONWOOD_230 KV_IRO-NLE:L230.Ironwood-SouthLebanon.1054,
ROXBURY 115 KV ROXBURY-SHADEGAP KR 1075,,ROXBURY-SHADEGAP KR 1075    A  115 KV
MONROE-LALLENDORF 345KV L/O MORROCCO-ALLENJCT 345KV,,MAJESTIC 345KV - LEMOYNE2 345KV (LEMOYNE2 345 KV MAJ-LEM1)
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,,ETOWANDA 230KV - SCOTCHHO 230KV (ETOWANDA 230 KV ETO-SCO)
81 TOULO 138 KV 3 POWERTON-81 TOULON 0321,,
EELKHART138 KV  EEL-MOT1,,EELKHART138 KV  EEL-MOT1
BOONETWN230 KV  BOO-SRE,,
02FAYET 138 KV  02F-EFY,02FAYET_138 KV_02F-EFY:ACTUAL,02FAYET 138KV - E_FAYET 138KV (02FAYET 138 KV 02F-EFY)
COLLEGEC 138 KV COLLEGEC-COLLINSV,,
EBEND 345 KV EBEND-TERMINAL,EBEND_345 KV_EBE-TER1:L345.Tanners Creek-East Bend,
BRAMBLET-EVRGREEN 2172B     A  230 KV,,ASHBURN-COCHRANM 227A       B  230 KV
HARWOOD 230 KV HARWOOD 4 XFORMER,,
TWINBRAN345 KV  T-7,,
EASTON 138 KV EASTON AT-1 XFORMER,,EASTON 138KV - EASTON 69KV (EASTON 138 KV AT-1)
74 KEWAN138 KV L74B1Z1,,74 KEWAN138 KV  L74B1Z1
MAHANSLA 138 KV MAHANS LANE-TIDD,,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID)
CRESCENT RIDGE - CORBIN 138 KV L/O KEWANEE EAST - BUREAU 138 KV,,Crescent Ridge - 7713 138 l/o Kewanee East - Bureau
FARMVILL230 KV  TX5,,FARMVILL 230KV - FARMVILL 115KV (FARMVILL 230 KV TX5)
COLLEGE CORNER - COLLINSVILLE 138 KV L/O TANNERS CREEK - MIAMI FORT 345 KV,,
ELIMA_138KVELI-HAV1_1_LN,,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1)
AUSTIN - TAYLORV 138 KV L/O AUSTIN - PANA 345 KV,,Maroa E - Goose Creek 345 kV l/o Pana-Austin 345 kV
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV,,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB)
BEAUMEAD-DTC 2143B          A  230 KV,,BEAUMEAD 230KV - DTC 230KV (BEAUMEAD 230 KV BEA-DTC)
NMUSKING138 KV  NMU-PHI,PHILIPSB_115 KV_PHI-SHA:230/115.Johnstown.T2,NMUSKING 138KV - PHILO 138KV (NMUSKING 138 KV NMU-PHI)
HINCHMAN_230KVHIN-JAC_1_LN,,JACK PS 230KV - HINCHMAN 230KV (HINCHMAN 230 KV HIN-JAC)
LORETTO_138KVLOR-VIE_1_LN,,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE)
ROXBURY NO2 TX XFORMER H 138 KV,,ROXBURY 115KV - ROXBURY 138KV (ROXBURY 138 KV NO2 TX)
BRUNSCOL500 KV  509,,
1808    138 KV  1808 5,,
112 WILT 765 KV 112 WILTON 65TR93 CT,,
CEDARGRO_230KVCED-CLIK_1_LN,,
HARWOOD 230 KV HARWOOD 4 XFORMER,,
20 BRAID345 KV TR2 24,20 BRAID345 KV TR2 24 ACTUAL,
HEBRON1 138 KV  EKH-HEB,HEBRON1_138 KV_EKH-HEB:ACTUAL,HEBRN_EK 69KV - HEBRON1 69KV (HEBRN_EK 69 KV HEB-HEBR)
DAUPHIN 230 KV DAUPHIN-JUNIATA 1087,DAUPHIN_230 KV_DAU-JUN:500/230.Juniata.T1,JUNIATA 230KV - DAUPHIN 230KV (DAUPHIN 230 KV DAU-JUN)
LINCOJCT 115 KV LINCOJCT-LINCOLN 963-1T,,LINCOJCT-LINCOLN 963-1T     A  115 KV
8810_138KV88102_1_LN,,
MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 978-1,,MIDDLJCT 115KV - YORKHAVE 115KV (MIDDLJCT 115 KV MID-YOR7)
ROCKTONM 115 KV ROCKTONM-SHAWVILL SD 1076,,SHAWVILL 115KV - ROCKTONM 115KV (ROCKTONM 115 KV ROC-SHA)
THOMSON - KENZIE CREEK 345 KV L/O E. ELKHART - THOMSON 345 KV,,THOMSON 345KV - KENZIECR 345KV (KENZIECR 345 KV KEN-THOM)
