market_constraint,match_source,matched_constraint,confidence,total_score,facility_score,contingency_score,voltage_match,zone_overlap,second_best_score,ambiguous
TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,pano,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,high,0.8375,0.875,1.0,1.0,0.0,0.7529,False
TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,dayzer,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,low,0.4,0.5,0.0,1.0,0.0,0.4,True
SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,pano,Burr Oak 345/138 kV xfmr l/o Burr Oak-Leesburg 345 kV,medium,0.5578,0.6,0.2857,1.0,0.3636,0.4962,False
SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,dayzer,OST_138 KV_OST-VAN2:L230.Oak Grove-Ritchie.23061,low,0.3318,0.3636,0.0,1.0,0.0,0.3,True
BIGPINET138 KV  BIG-KIS,pano,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),high,0.7045,0.5,1.0,1.0,0.5455,0.7045,True
BIGPINET138 KV  BIG-KIS,dayzer,BIGPINET_138 KV_BIG-KIS:ACTUAL,medium,0.4607,0.5714,0.0,1.0,0.25,0.4286,True
CONASTON-PEACHBOT 5012 A 500 KV,pano,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA),high,0.8769,0.8,1.0,1.0,0.7692,0.7936,False
CONASTON-PEACHBOT 5012 A 500 KV,dayzer,CONASTON_500 KV_CNS-PEA:500/230.Conastone.500-2,medium,0.5056,0.6667,0.0,1.0,0.2222,0.5033,True
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,pano,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1),high,0.8417,0.75,1.0,1.0,0.6667,0.7583,False
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,dayzer,CHARLTSV_230 KV_2054B1:ACTUAL,low,0.4357,0.5714,0.0,1.0,0.0,0.3722,False
