date,pd
2024-07-03,1616709.55
2024-07-04,1591604.654
2024-07-05,1502847.565
2024-07-06,1420541.725
2024-07-07,1391152.888
2024-07-08,1185671.6739999999
2024-07-09,1273303.708
2024-07-10,1355734.319
2024-07-11,1374283.051
2024-07-12,1364437.467
2024-07-13,1342015.147
2024-07-14,1405299.099
2024-07-15,1529579.5389999999
2024-07-16,1566223.289
2024-07-17,1506556.237
2024-07-18,1416949.915
2024-07-19,1437674.167
2024-07-20,1419222.154
2024-07-21,1370517.508
2024-07-22,1369635.181
2024-07-23,1328573.387
2024-07-24,1364693.526
2024-07-25,1356038.919
2024-07-26,1325694.944
2024-07-27,1321135.59
2024-07-28,1383002.581
2024-07-29,1556442.6469999999
2024-07-30,1583817.986
2024-07-31,1593412.329
2024-08-01,1563228.796
2024-08-02,1591757.028
2024-08-03,1562268.813
2024-08-04,1507140.124
2024-08-05,1557317.658
2024-08-06,1583023.486
2024-08-07,1639731.979
2024-08-08,1659400.21
2024-08-09,1599863.31
2024-08-10,1544342.721
2024-08-11,1572836.172
2024-08-12,1641567.436
2024-08-13,1654335.773
2024-08-14,1658611.452
2024-08-15,1665813.515
2024-08-16,1680182.724
2024-08-17,1642280.148
2024-08-18,1637480.558
2024-08-19,1680706.779
2024-08-20,1684300.136
2024-08-21,1682000.844
2024-08-22,1694383.889
2024-08-23,1684886.1439999999
2024-08-24,1572884.131
2024-08-25,1542389.039
2024-08-26,1514018.1369999999
2024-08-27,1481397.761
2024-08-28,1485841.687
2024-08-29,1459830.362
2024-08-30,1448319.129
2024-08-31,1428488.633
2024-09-01,1389115.179
2024-09-02,1366633.767
2024-09-03,1335216.45
2024-09-04,1319797.784
2024-09-05,1352185.745
2024-09-06,1349858.587
2024-09-07,1264496.814
2024-09-08,1192683.482
2024-09-09,1239439.903
2024-09-10,1291022.727
2024-09-11,1322617.256
2024-09-12,1342136.306
2024-09-13,1417983.3260000001
2024-09-14,1456393.932
2024-09-15,1425639.644
2024-09-16,1443120.323
2024-09-17,1443195.484
2024-09-18,1491836.613
2024-09-19,1541332.009
2024-09-20,1534299.379
2024-09-21,1485811.324
2024-09-22,1443605.166
2024-09-23,1388735.896
2024-09-24,1409823.583
2024-09-25,1364431.126
2024-09-26,1279067.367
2024-09-27,1266276.844
2024-09-28,1253949.061
2024-09-29,1258244.2820000001
2024-09-30,1341439.009
2024-10-01,1301402.366
2024-10-02,1336310.046
2024-10-03,1369302.39
2024-10-04,1349118.253
2024-10-05,1308295.679
2024-10-06,1330464.972
2024-10-07,1344984.197
2024-10-08,1280599.115
2024-10-09,1240625.63
2024-10-10,1273069.299
2024-10-11,1282226.104
2024-10-12,1279024.349
2024-10-13,1297525.147
2024-10-14,1297307.301
2024-10-15,1291721.122
2024-10-16,1098148.126
2024-10-17,1064540.911
2024-10-18,1099403.672
2024-10-19,1106560.712
2024-10-20,1122284.08
2024-10-21,1191541.418
2024-10-22,1239086.712
2024-10-23,1285449.01
2024-10-24,1294691.244
2024-10-25,1296445.497
2024-10-26,1240675.884
2024-10-27,1230085.186
2024-10-28,1299184.548
2024-10-29,1329567.498
2024-10-30,1346970.565
2024-10-31,1253470.116
2024-11-01,1170217.226
2024-11-02,1181208.182
2024-11-03,1228039.68
2024-11-04,1286521.3969999999
